Дата;Часы;Факт, Мвт*ч;Плановая температура;
06.08.2013;23;8,077;20;
07.08.2013;0;8,039;19;
07.08.2013;1;8,044;19;
07.08.2013;2;8,026;18;
07.08.2013;3;7,897;18;
07.08.2013;4;7,98;18;
07.08.2013;5;8,102;18;
07.08.2013;6;8,367;20;
07.08.2013;7;8,48;22;
07.08.2013;8;8,678;23;
07.08.2013;9;8,786;25;
07.08.2013;10;8,981;26;
07.08.2013;11;9,131;27;
07.08.2013;12;9,425;28;
07.08.2013;13;9,3;28;
07.08.2013;14;9,341;28;
07.08.2013;15;9,21;28;
07.08.2013;16;9,43;27;
07.08.2013;17;9,232;27;
07.08.2013;18;8,971;25;
07.08.2013;19;8,872;24;
07.08.2013;20;8,505;22;
07.08.2013;21;8,3;21;
07.08.2013;22;8,383;20;
07.08.2013;23;8,362;20;
08.08.2013;0;8,463;19;
08.08.2013;1;8,321;19;
08.08.2013;2;8,187;18;
08.08.2013;3;8,186;18;
08.08.2013;4;8,236;18;
08.08.2013;5;8,149;19;
08.08.2013;6;8,4;20;
08.08.2013;7;8,543;22;
08.08.2013;8;8,8;23;
08.08.2013;9;9,047;24;
08.08.2013;10;9,165;26;
08.08.2013;11;8,887;26;
08.08.2013;12;8,989;27;
08.08.2013;13;9,022;27;
08.08.2013;14;9;27;
08.08.2013;15;9,006;27;
08.08.2013;16;8,879;27;
08.08.2013;17;8,665;26;
08.08.2013;18;8,795;25;
08.08.2013;19;8,745;23;
08.08.2013;20;8,484;21;
08.08.2013;21;8,561;20;
08.08.2013;22;8,329;19;
08.08.2013;23;8,165;18;
09.08.2013;0;8,01;18;
09.08.2013;1;7,988;17;
09.08.2013;2;7,93;17;
09.08.2013;3;8,166;16;
09.08.2013;4;8,308;16;
09.08.2013;5;8,207;17;
09.08.2013;6;8,43;19;
09.08.2013;7;8,619;21;
09.08.2013;8;8,735;22;
09.08.2013;9;8,843;24;
09.08.2013;10;8,87;25;
09.08.2013;11;8,917;26;
09.08.2013;12;9,093;27;
09.08.2013;13;9,35;27;
09.08.2013;14;9,552;28;
09.08.2013;15;9,37;28;
09.08.2013;16;9,488;27;
09.08.2013;17;9,215;27;
09.08.2013;18;9,224;26;
09.08.2013;19;8,757;24;
09.08.2013;20;8,388;23;
09.08.2013;21;8,262;21;
09.08.2013;22;8,261;20;
09.08.2013;23;8,195;20;
10.08.2013;0;8,275;19;
10.08.2013;1;8,119;19;
10.08.2013;2;8,245;18;
10.08.2013;3;8,068;18;
10.08.2013;4;8,157;18;
10.08.2013;5;8,321;19;
10.08.2013;6;8,358;21;
10.08.2013;7;8,606;23;
10.08.2013;8;8,879;25;
10.08.2013;9;9,278;27;
10.08.2013;10;9,401;28;
10.08.2013;11;9,673;29;
10.08.2013;12;9,815;29;
10.08.2013;13;9,648;30;
10.08.2013;14;9,753;30;
10.08.2013;15;9,736;30;
10.08.2013;16;9,374;29;
10.08.2013;17;9,468;29;
10.08.2013;18;9,001;28;
10.08.2013;19;8,522;26;
10.08.2013;20;8,342;24;
10.08.2013;21;8,295;23;
